group,subject_number,block,task,central_task_accuracy,central_task_signal,central_task_decision,central_task_confidence,peripheral_task_accuracy,peripheral_task_signal,peripheral_task_decision,peripheral_task_confidence,central_frames,peripheral_frames,gabor_alpha_contrast,peripheral_task_reaction_time
control,1,-12,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,-1,-1,-3,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,-1,-1,-3,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,0,1,-1,-2,.,.,.,.,25,23,0.029552246,.
control,1,-11,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,-1,-1,-3,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-10,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,1,1,1,4,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,0,-1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,0,-1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,0,1,-1,-2,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,0,1,-1,-1,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,1,-1,-1,-4,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-9,training_central_SOA,1,1,1,3,.,.,.,.,25,23,0.029552246,.
control,1,-8,training_diverted_attention_contrast_threshold,1,1,1,3,0,-1,1,3,25,23,0.031029858,27.9807362
control,1,-8,training_diverted_attention_contrast_threshold,1,-1,-1,-4,0,-1,1,2,25,23,0.04488128,11.78280829
control,1,-8,training_diverted_attention_contrast_threshold,0,1,-1,-4,1,1,1,3,25,23,0.057472695,8.3161568
control,1,-8,training_diverted_attention_contrast_threshold,0,1,-1,-3,1,1,1,4,25,23,0.054366381,2.666141074
control,1,-8,training_diverted_attention_contrast_threshold,1,-1,-1,-4,0,-1,1,2,25,23,0.051248174,5.016481029
control,1,-8,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,3,25,23,0.063134188,8.716272869
control,1,-8,training_diverted_attention_contrast_threshold,1,-1,-1,-3,1,1,1,4,25,23,0.060209071,4.966288066
control,1,-8,training_diverted_attention_contrast_threshold,1,-1,-1,-4,0,-1,1,3,25,23,0.057315511,5.066348139
control,1,-8,training_diverted_attention_contrast_threshold,1,-1,-1,-3,1,1,1,4,25,23,0.06864434,2.466241057
control,1,-8,training_diverted_attention_contrast_threshold,1,-1,-1,-4,0,-1,1,2,25,23,0.065914552,4.082614325
control,1,-8,training_diverted_attention_contrast_threshold,1,1,1,3,1,-1,-1,-4,25,23,0.076115081,4.08372328
control,1,-8,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,4,25,23,0.07352838,3.932808345
control,1,-7,training_diverted_attention_contrast_threshold,0,-1,1,4,1,1,1,2,25,23,0.070935049,4.116234129
control,1,-7,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,4,25,23,0.068370832,2.966055854
control,1,-7,training_diverted_attention_contrast_threshold,0,-1,1,3,1,-1,-1,-4,25,23,0.065836895,3.432819106
control,1,-7,training_diverted_attention_contrast_threshold,1,1,1,4,1,-1,-1,-4,25,23,0.063298723,4.682672321
control,1,-7,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,4,25,23,0.060788581,4.766273265
control,1,-7,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,1,1,3,25,23,0.058307505,2.449580677
control,1,-7,training_diverted_attention_contrast_threshold,0,-1,1,4,1,1,1,3,25,23,0.055856424,2.549537293
control,1,-7,training_diverted_attention_contrast_threshold,1,1,1,4,0,-1,1,4,25,23,0.053402088,3.699661952
control,1,-7,training_diverted_attention_contrast_threshold,1,1,1,4,1,-1,-1,-4,25,23,0.06260916,3.749488284
control,1,-7,training_diverted_attention_contrast_threshold,1,-1,-1,-4,0,-1,1,3,25,23,0.060258453,2.966218214
control,1,-7,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,4,25,23,0.069269119,2.582810101
control,1,-7,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,-1,-1,-4,25,23,0.067012707,5.0161952
control,1,-6,training_diverted_attention_contrast_threshold,1,1,1,4,1,-1,-1,-4,25,23,0.064784666,2.066009072
control,1,-6,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,3,25,23,0.062554159,2.682936628
control,1,-6,training_diverted_attention_contrast_threshold,0,-1,1,4,1,-1,-1,-4,25,23,0.060349686,2.849305572
control,1,-6,training_diverted_attention_contrast_threshold,1,1,1,3,1,1,1,3,25,23,0.058171739,2.832788673
control,1,-6,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,1,1,4,25,23,0.05602074,4.116120477
control,1,-6,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,1,1,4,25,23,0.053868092,3.899843644
control,1,-6,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,1,1,4,25,23,0.051740028,3.11596076
control,1,-6,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,-1,-1,-4,25,23,0.049636926,2.665894136
control,1,-6,training_diverted_attention_contrast_threshold,1,-1,-1,-4,0,1,-1,-4,25,23,0.04755911,2.782681799
control,1,-6,training_diverted_attention_contrast_threshold,0,1,-1,-4,1,-1,-1,-4,25,23,0.055677605,2.199289846
control,1,-6,training_diverted_attention_contrast_threshold,1,1,1,4,1,-1,-1,-4,25,23,0.053644275,2.565828399
control,1,-6,training_diverted_attention_contrast_threshold,1,1,1,3,1,-1,-1,-4,25,23,0.051634346,2.782686707
control,1,-5,training_diverted_attention_contrast_threshold,1,-1,-1,-3,1,-1,-1,-4,25,23,0.049648066,3.582576
control,1,-5,training_diverted_attention_contrast_threshold,1,1,1,4,1,-1,-1,-4,25,23,0.047685632,1.982618441
control,1,-5,training_diverted_attention_contrast_threshold,1,-1,-1,-3,1,-1,-1,-4,25,23,0.045747199,3.815940258
control,1,-5,training_diverted_attention_contrast_threshold,1,-1,-1,-3,1,-1,-1,-3,25,23,0.043806935,3.115926401
control,1,-5,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,1,1,3,25,23,0.041888407,3.382900267
control,1,-5,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,-1,-1,-4,25,23,0.039991767,2.24954662
control,1,-5,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,4,25,23,0.038117128,3.382486061
control,1,-5,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,3,25,23,0.036264569,3.399378275
control,1,-5,training_diverted_attention_contrast_threshold,1,1,1,4,1,-1,-1,-3,25,23,0.034434135,2.399682983
control,1,-5,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,1,1,3,25,23,0.03260038,3.599769147
control,1,-5,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,4,25,23,0.030786559,2.082467824
control,1,-5,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,3,25,23,0.028992731,2.866586695
control,1,-4,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,1,1,2,25,23,0.027218926,3.032733999
control,1,-4,training_diverted_attention_contrast_threshold,1,-1,-1,-3,1,1,1,3,25,23,0.025465152,3.816016907
control,1,-4,training_diverted_attention_contrast_threshold,0,1,-1,-3,0,-1,1,3,25,23,0.023707751,2.88280455
control,1,-4,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,-1,-1,-4,25,23,0.030291028,2.399384317
control,1,-4,training_diverted_attention_contrast_threshold,1,1,1,4,0,-1,1,4,25,23,0.028584509,1.866418672
control,1,-4,training_diverted_attention_contrast_threshold,1,1,1,3,0,-1,1,3,25,23,0.035210567,4.283290648
control,1,-4,training_diverted_attention_contrast_threshold,1,-1,-1,-3,0,-1,1,3,25,23,0.041504946,3.116177869
control,1,-4,training_diverted_attention_contrast_threshold,1,1,1,4,1,1,1,3,25,23,0.047871789,3.099308687
control,1,-4,training_diverted_attention_contrast_threshold,1,1,1,4,0,-1,1,3,25,23,0.046238431,2.516406834
control,1,-4,training_diverted_attention_contrast_threshold,1,-1,-1,-4,0,1,-1,-2,25,23,0.052684115,3.966249175
control,1,-4,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,1,1,3,25,23,0.058844977,5.232636659
control,1,-4,training_diverted_attention_contrast_threshold,1,1,1,2,1,1,1,3,25,23,0.057247262,5.316033331
control,1,-3,training_diverted_attention_contrast_threshold,1,-1,-1,-4,1,-1,-1,-4,25,23,0.055669054,2.116329657
control,1,-3,training_diverted_attention_contrast_threshold,1,-1,-1,-4,0,-1,1,3,25,23,0.054089743,2.449608619
